"success","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"","show_advice","html-keyboard-response","685","1177804","0.0-218.0-3.0-1.0-0.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","686","1179549","0.0-218.0-6.0","24","female","1741","Confidence judgment (second response)","","","-1","-1","","","","left","99.75","99.75","50","true","61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","687","1179551","0.0-219.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","4","79","300","239","61","left","88.5","true","1419.5","1","yes","left","left","99.75","true","true","1741","","","","","",""
"","attncheck","html-button-response","688","1181382","0.0-220.0","24","female","1827","attncheck","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"","fixation","html-keyboard-response","689","1181753","0.0-221.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","690","1182265","0.0-221.0-1.0","24","female","null","[Dot display: left=300, right=239, diff=61]","null","","-1","-1","300","239","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","691","1184082","0.0-221.0-2.0","24","female","1813.800000011921","Confidence judgement (first response)","","","-1","-1","","","","left","81.5","81.5","50","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","692","1185116","0.0-221.0-5.0-0.0","24","female","1031","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","693","1185924","0.0-221.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","694","1187266","0.0-221.0-6.0","24","female","1337.199999988079","Confidence judgment (second response)","","","-1","-1","","","","left","81.5","81.5","50","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","695","1187268","0.0-222.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","5","80","300","239","61","left","81.5","true","1813.800000011921","3","yes","left","left","81.5","true","true","1337.199999988079","","","","","",""
"","fixation","html-keyboard-response","696","1187765","0.0-223.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","697","1188276","0.0-223.0-1.0","24","female","null","[Dot display: left=300, right=240, diff=60]","null","","-1","-1","300","240","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","698","1191649","0.0-223.0-2.0","24","female","3369.300000011921","Confidence judgement (first response)","","","-1","-1","","","","left","79","79","50","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","699","1192482","0.0-223.0-5.0-0.0","24","female","830","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","700","1193289","0.0-223.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","701","1194316","0.0-223.0-6.0","24","female","1022.7999999821186","Confidence judgment (second response)","","","-1","-1","","","","left","79","79","50","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","702","1194320","0.0-224.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","6","81","300","240","60","left","79","true","3369.300000011921","3","yes","left","left","79","true","true","1022.7999999821186","","","","","",""
"","fixation","html-keyboard-response","703","1194709","0.0-225.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","704","1195227","0.0-225.0-1.0","24","female","null","[Dot display: left=240, right=300, diff=60]","null","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","705","1196882","0.0-225.0-2.0","24","female","1651.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","77.75","50","77.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","706","1198048","0.0-225.0-5.0-0.0","24","female","1163","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","707","1198855","0.0-225.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","708","1200350","0.0-225.0-6.0","24","female","1491.3999999761581","Confidence judgment (second response)","","","-1","-1","","","","right","77.75","50","77.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","709","1200354","0.0-226.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","7","82","240","300","60","right","77.75","true","1651.5999999940395","3","yes","left","right","77.75","false","true","1491.3999999761581","","","","","",""
"","fixation","html-keyboard-response","710","1200679","0.0-227.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","711","1201190","0.0-227.0-1.0","24","female","null","[Dot display: left=300, right=241, diff=59]","null","","-1","-1","300","241","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","712","1203821","0.0-227.0-2.0","24","female","2622.2000000178814","Confidence judgement (first response)","","","-1","-1","","","","left","74.25","74.25","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","713","1205283","0.0-227.0-3.0-0.0","24","female","1460","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","714","1206094","0.0-227.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","715","1207215","0.0-227.0-6.0","24","female","1110.5999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","74.25","74.25","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","716","1207218","0.0-228.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","8","83","300","241","59","left","74.25","true","2622.2000000178814","1","no","left","left","74.25","true","true","1110.5999999940395","","","","","",""
"","block_message","html-button-response","717","1208165","0.0-229.0","24","female","944","block message","0","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","718","1208419","0.0-230.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","719","1208930","0.0-230.0-1.0","24","female","null","[Dot display: left=300, right=241, diff=59]","null","","-1","-1","300","241","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","720","1210900","0.0-230.0-2.0","24","female","1967.800000011921","Confidence judgement (first response)","","","-1","-1","","","","left","75.5","75.5","50","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","721","1212532","0.0-230.0-3.0-0.0","24","female","1630","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","722","1213339","0.0-230.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","723","1214248","0.0-230.0-6.0","24","female","904.2999999821186","Confidence judgment (second response)","","","-1","-1","","","","left","75.5","75.5","50","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","724","1214250","0.0-231.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","9","84","300","241","59","left","75.5","true","1967.800000011921","1","no","left","left","75.5","true","true","904.2999999821186","","","","","",""
"","fixation","html-keyboard-response","725","1214673","0.0-232.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","726","1215184","0.0-232.0-1.0","24","female","null","[Dot display: left=242, right=300, diff=58]","null","","-1","-1","242","300","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","727","1216500","0.0-232.0-2.0","24","female","1312.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","81","81","50","false","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","728","1220615","0.0-232.0-4.0-0.0","24","female","4113","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","729","1221424","0.0-232.0-4.0-1.0","24","female","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","730","1223200","0.0-232.0-6.0","24","female","1772.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","right","88.25","50","88.25","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","731","1223203","0.0-233.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","10","85","242","300","58","left","81","false","1312.0999999940395","2","no","right","right","88.25","true","true","1772.0999999940395","","","","","",""
"","fixation","html-keyboard-response","732","1223578","0.0-234.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","733","1224090","0.0-234.0-1.0","24","female","null","[Dot display: left=241, right=300, diff=59]","null","","-1","-1","241","300","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","734","1228398","0.0-234.0-2.0","24","female","4305.5","Confidence judgement (first response)","","","-1","-1","","","","right","94.75","50","94.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","735","1229481","0.0-234.0-5.0-0.0","24","female","1081","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","736","1230287","0.0-234.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","737","1232116","0.0-234.0-6.0","24","female","1823.5999999940395","Confidence judgment (second response)","","","-1","-1","","","","right","94.75","50","94.75","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","738","1232119","0.0-235.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","11","86","241","300","59","right","94.75","true","4305.5","3","no","right","right","94.75","true","true","1823.5999999940395","","","","","",""
"","fixation","html-keyboard-response","739","1232488","0.0-236.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","740","1233003","0.0-236.0-1.0","24","female","null","[Dot display: left=242, right=300, diff=58]","null","","-1","-1","242","300","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","741","1235632","0.0-236.0-2.0","24","female","2625.5","Confidence judgement (first response)","","","-1","-1","","","","left","71","71","50","false","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","742","1236449","0.0-236.0-4.0-0.0","24","female","815","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","743","1237258","0.0-236.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","744","1238699","0.0-236.0-6.0","24","female","1435.699999988079","Confidence judgment (second response)","","","-1","-1","","","","left","71","71","50","false","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","745","1238702","0.0-237.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","12","87","242","300","58","left","71","false","2625.5","2","no","left","left","71","false","false","1435.699999988079","","","","","",""
"","fixation","html-keyboard-response","746","1239007","0.0-238.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","747","1239525","0.0-238.0-1.0","24","female","null","[Dot display: left=240, right=300, diff=60]","null","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","748","1241618","0.0-238.0-2.0","24","female","2087.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","78.5","50","78.5","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","749","1243349","0.0-238.0-5.0-0.0","24","female","1729","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","750","1244158","0.0-238.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","751","1245449","0.0-238.0-6.0","24","female","1286.5","Confidence judgment (second response)","","","-1","-1","","","","right","78.5","50","78.5","true","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","752","1245451","0.0-239.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","13","88","240","300","60","right","78.5","true","2087.5999999940395","3","no","left","right","78.5","false","true","1286.5","","","","","",""
"","attncheck","html-button-response","753","1247199","0.0-240.0","24","female","1745","attncheck","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"","fixation","html-keyboard-response","754","1247588","0.0-241.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","755","1248099","0.0-241.0-1.0","24","female","null","[Dot display: left=240, right=300, diff=60]","null","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","756","1251816","0.0-241.0-2.0","24","female","3713.199999988079","Confidence judgement (first response)","","","-1","-1","","","","right","78.75","50","78.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","757","1252982","0.0-241.0-3.0-0.0","24","female","1164","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","758","1253793","0.0-241.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","759","1255132","0.0-241.0-6.0","24","female","1335","Confidence judgment (second response)","","","-1","-1","","","","right","78.75","50","78.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","760","1255137","0.0-242.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","5","14","89","240","300","60","right","78.75","true","3713.199999988079","1","no","left","right","78.75","false","true","1335","","","","","",""
"","block_message","html-button-response","761","1256282","0.0-243.0","24","female","1143","block message","0","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","762","1256597","0.0-244.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","763","1257107","0.0-244.0-1.0","24","female","null","[Dot display: left=300, right=241, diff=59]","null","","-1","-1","300","241","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","764","1259066","0.0-244.0-2.0","24","female","1955.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","72.25","72.25","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","765","1260299","0.0-244.0-4.0-0.0","24","female","1230","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","766","1261106","0.0-244.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","767","1263116","0.0-244.0-6.0","24","female","2005.699999988079","Confidence judgment (second response)","","","-1","-1","","","","left","78","78","50","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","768","1263119","0.0-245.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","0","90","300","241","59","left","72.25","true","1955.0999999940395","2","no","left","left","78","true","true","2005.699999988079","","","","","",""
"","fixation","html-keyboard-response","769","1263411","0.0-246.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","770","1263922","0.0-246.0-1.0","24","female","null","[Dot display: left=241, right=300, diff=59]","null","","-1","-1","241","300","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","771","1265849","0.0-246.0-2.0","24","female","1924.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","77.75","50","77.75","true","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","772","1266600","0.0-246.0-4.0-0.0","24","female","749","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","773","1267407","0.0-246.0-4.0-1.0","24","female","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","774","1268799","0.0-246.0-6.0","24","female","1388.5","Confidence judgment (second response)","","","-1","-1","","","","right","95.25","50","95.25","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","775","1268801","0.0-247.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","1","91","241","300","59","right","77.75","true","1924.9000000059605","2","no","right","right","95.25","true","true","1388.5","","","","","",""
"","fixation","html-keyboard-response","776","1269012","0.0-248.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","777","1269523","0.0-248.0-1.0","24","female","null","[Dot display: left=242, right=300, diff=58]","null","","-1","-1","242","300","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","778","1273067","0.0-248.0-2.0","24","female","3539.2000000178814","Confidence judgement (first response)","","","-1","-1","","","","right","78","50","78","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","779","1274398","0.0-248.0-3.0-0.0","24","female","1329","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","780","1275206","0.0-248.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","781","1276236","0.0-248.0-6.0","24","female","1021.5","Confidence judgment (second response)","","","-1","-1","","","","right","78","50","78","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","782","1276239","0.0-249.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","2","92","242","300","58","right","78","true","3539.2000000178814","1","no","right","right","78","true","true","1021.5","","","","","",""
"","fixation","html-keyboard-response","783","1276477","0.0-250.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","784","1276987","0.0-250.0-1.0","24","female","null","[Dot display: left=300, right=242, diff=58]","null","","-1","-1","300","242","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","785","1278917","0.0-250.0-2.0","24","female","1925.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","73.75","73.75","50","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","786","1281382","0.0-250.0-4.0-0.0","24","female","2463","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","787","1282192","0.0-250.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","788","1283683","0.0-250.0-6.0","24","female","1486.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","73.75","73.75","50","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","789","1283686","0.0-251.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","3","93","300","242","58","left","73.75","true","1925.9000000059605","2","no","left","left","73.75","true","true","1486.0999999940395","","","","","",""
"","block_message","html-button-response","790","1285965","0.0-252.0","24","female","2276","block message","0","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","791","1286441","0.0-253.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","792","1286953","0.0-253.0-1.0","24","female","null","[Dot display: left=300, right=242, diff=58]","null","","-1","-1","300","242","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","793","1289533","0.0-253.0-2.0","24","female","2576.2999999821186","Confidence judgement (first response)","","","-1","-1","","","","right","79.75","50","79.75","false","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","794","1290432","0.0-253.0-3.0-0.0","24","female","897","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","795","1291242","0.0-253.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","796","1294917","0.0-253.0-6.0","24","female","3668.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","68.5","68.5","50","true","58","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","797","1294919","0.0-254.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","4","94","300","242","58","right","79.75","false","2576.2999999821186","1","no","left","left","68.5","true","true","3668.0999999940395","","","","","",""
"","fixation","html-keyboard-response","798","1295411","0.0-255.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","799","1295921","0.0-255.0-1.0","24","female","null","[Dot display: left=300, right=242, diff=58]","null","","-1","-1","300","242","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","800","1297717","0.0-255.0-2.0","24","female","1790.800000011921","Confidence judgement (first response)","","","-1","-1","","","","right","80.75","50","80.75","false","59","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","801","1298565","0.0-255.0-5.0-0.0","24","female","846","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","802","1299375","0.0-255.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","803","1300017","0.0-255.0-6.0","24","female","637.3000000119209","Confidence judgment (second response)","","","-1","-1","","","","right","80.75","50","80.75","false","60","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","804","1300019","0.0-256.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","5","95","300","242","58","right","80.75","false","1790.800000011921","3","no","left","right","80.75","true","false","637.3000000119209","","","","","",""
"","fixation","html-keyboard-response","805","1300301","0.0-257.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","806","1300812","0.0-257.0-1.0","24","female","null","[Dot display: left=240, right=300, diff=60]","null","","-1","-1","240","300","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","807","1302850","0.0-257.0-2.0","24","female","2033.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","72.75","72.75","50","false","61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","808","1303615","0.0-257.0-5.0-0.0","24","female","764","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","809","1304426","0.0-257.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","810","1305200","0.0-257.0-6.0","24","female","769.7999999821186","Confidence judgment (second response)","","","-1","-1","","","","left","72.75","72.75","50","false","61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","811","1305202","0.0-258.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","6","6","96","240","300","60","left","72.75","false","2033.9000000059605","3","no","left","left","72.75","false","false","769.7999999821186","","","","","",""
"","fixation","html-keyboard-response","812","1305420","0.0-259.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","813","1305931","0.0-259.0-1.0","24","female","null","[Dot display: left=239, right=300, diff=61]","null","","-1","-1","239","300","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","814","1307332","0.0-259.0-2.0","24","female","1398.1000000238419","Confidence judgement (first response)","","","-1","-1","","","","right","74.5","50","74.5","true","61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","815","1311149","0.0-259.0-5.0-0.0","24","female","3815","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
